Company Name,symbol
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICIGI
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
VODAFONE IDEA LIMITED,IDEA
IDFC FIRST BANK LIMITED,IDFCFIRSTB
INDRAPRASTHA GAS LIMITED,IGL
THE INDIAN HOTELS COMPANY LIMITED,INDHOTEL
INTERGLOBE AVIATION LIMITED,INDIGO
INDUSIND BANK LIMITED,INDUSINDBK
INDUS TOWERS LIMITED,INDUSTOWER
INFOSYS LIMITED,INFY
INDIAN OIL CORPORATION LIMITED,IOC
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,IRCTC
ITC LIMITED,ITC
JINDAL STEEL & POWER LIMITED,JINDALSTEL
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LIMITED,JUBLFOOD
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
L&T FINANCE HOLDINGS LIMITED,L&TFH
DR. LAL PATH LABS LTD.,LALPATHLAB
LIC HOUSING FINANCE LIMITED,LICHSGFIN
LARSEN & TOUBRO LIMITED,LT
LARSEN & TOUBRO INFOTECH LIMITED,LTI
L&T TECHNOLOGY SERVICES LIMITED,LTTS
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA LIMITED,M&M
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
MANAPPURAM FINANCE LIMITED,MANAPPURAM
MARICO LIMITED,MARICO
MARUTI SUZUKI INDIA LIMITED,MARUTI
UNITED SPIRITS LIMITED,MCDOWELL-N
METROPOLIS HEALTHCARE LIMITED,METROPOLIS
MAX FINANCIAL SERVICES LIMITED,MFSL
MAHANAGAR GAS LIMITED,MGL
MINDTREE LIMITED,MINDTREE
MOTHERSON SUMI SYSTEMS LIMITED,MOTHERSUMI
MPHASIS LIMITED,MPHASIS
MRF LIMITED,MRF
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
INFO EDGE (INDIA) LIMITED,NAUKRI
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR
NESTLE INDIA LIMITED,NESTLEIND
NMDC LIMITED,NMDC
NTPC LIMITED,NTPC
OIL & NATURAL GAS CORPORATION LIMITED,ONGC
PAGE INDUSTRIES LIMITED,PAGEIND
PIRAMAL ENTERPRISES LIMITED,PEL
PETRONET LNG LIMITED,PETRONET
POWER FINANCE CORPORATION LIMITED,PFC
PFIZER LIMITED,PFIZER
PIDILITE INDUSTRIES LIMITED,PIDILITIND
PI INDUSTRIES LIMITED,PIIND
PUNJAB NATIONAL BANK,PNB
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
PVR LIMITED,PVR
THE RAMCO CEMENTS LIMITED,RAMCOCEM
RBL BANK LIMITED,RBLBANK
REC LIMITED,RECLTD
RELIANCE INDUSTRIES LIMITED,RELIANCE
STEEL AUTHORITY OF INDIA LIMITED,SAIL
SBI LIFE INSURANCE COMPANY LIMITED,SBILIFE
STATE BANK OF INDIA,SBIN
SHREE CEMENT LIMITED,SHREECEM
SIEMENS LIMITED,SIEMENS
SRF LIMITED,SRF
SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV
TATA CHEMICALS LIMITED,TATACHEM
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TATA MOTORS LIMITED,TATAMOTORS
TATA POWER COMPANY LIMITED,TATAPOWER
TATA STEEL LIMITED,TATASTEEL
TATA CONSULTANCY SERVICES LIMITED,TCS
TECH MAHINDRA LIMITED,TECHM
TITAN COMPANY LIMITED,TITAN
TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
TORRENT POWER LIMITED,TORNTPOWER
TRENT LIMITED,TRENT
TVS MOTOR COMPANY LIMITED,TVSMOTOR
UNITED BREWERIES LIMITED,UBL
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UPL LIMITED,UPL
VEDANTA LIMITED,VEDL
VOLTAS LIMITED,VOLTAS
WIPRO LIMITED,WIPRO
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
ASTRAL LIMITED,ASTRAL
STRIDES PHARMA SCIENCE LIMITED,STAR
CAN FIN HOMES LIMITED,CANFINHOME
DIXON TECHNOLOGIES (INDIA) LIMITED,DIXON
HINDUSTAN AERONAUTICS LIMITED,HAL
INDIAN ENERGY EXCHANGE LIMITED,IEX
INDIAMART INTERMESH LIMITED,INDIAMART
IPCA LABORATORIES LIMITED,IPCALAB
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS
POLYCAB INDIA LIMITED,POLYCAB
SYNGENE INTERNATIONAL LIMITED,SYNGENE
ABBOTT INDIA LIMITED,ABBOTINDIA
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON
DALMIA BHARAT LIMITED,DALBHARAT
DELTA CORP LIMITED,DELTACORP
THE INDIA CEMENTS LIMITED,INDIACEM
JK CEMENT LIMITED,JKCEMENT
OBEROI REALTY LIMITED,OBEROIRLTY
PERSISTENT SYSTEMS LIMITED,PERSISTENT
