Company Name,Symbol
Astec LifeSciences Limited,ASTEC
Aster DM Healthcare Limited,ASTERDM
Astra Microwave Products Limited,ASTRAMICRO
Astral Poly Technik Limited,ASTRAL
AstraZeneca Pharma India Limited,ASTRAZEN
Atul Auto Limited,ATULAUTO
Atul Limited,ATUL
AU Small Finance Bank Limited,AUBANK
Aurobindo Pharma Limited,AUROPHARMA
Automotive Axles Limited,AUTOAXLES
Avadh Sugar & Energy Limited,AVADHSUGAR
Avanti Feeds Limited,AVANTIFEED
Avenue Supermarts Limited,DMART
AVT Natural Products Limited,AVTNPL
Axis Bank Limited,AXISBANK
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Consumer Care Limited,BAJAJCON
Bajaj Electricals Limited,BAJAJELEC
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG
Balaji Amines Limited,BALAMINES
Balaji Telefilms Limited,BALAJITELE
Balkrishna Industries Limited,BALKRISIND
Balmer Lawrie & Company Limited,BALMLAWRIE
Balrampur Chini Mills Limited,BALRAMCHIN
Banco Products (I) Limited,BANCOINDIA
Bandhan Bank Limited,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of Maharashtra,MAHABANK
Bannari Amman Sugars Limited,BANARISUG
BASF India Limited,BASF
Bata India Limited,BATAINDIA
BEML Limited,BEML
Berger Paints (I) Limited,BERGEPAINT
BF Investment Limited,BFINVEST
BF Utilities Limited,BFUTILITIE
BGR Energy Systems Limited,BGRENERGY
Bhageria Industries Limited,BHAGERIA
Bhansali Engineering Polymers Limited,BEPL
Bharat Bijlee Limited,BBL
Bharat Dynamics Limited,BDL
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharat Heavy Electricals Limited,BHEL
Bharat Petroleum Corporation Limited,BPCL
Bharat Rasayan Limited,BHARATRAS
Bharat Road Network Limited,BRNL
Bharti Airtel Limited,BHARTIARTL
Bharti Infratel Limited,INFRATEL
Biocon Limited,BIOCON
Birla Corporation Limited,BIRLACORPN
BIRLASOFT LIMITED,BSOFT
Bliss GVS Pharma Limited,BLISSGVS
BLS International Services Limited,BLS
Blue Dart Express Limited,BLUEDART
Blue Star Limited,BLUESTARCO
Bodal Chemicals Limited,BODALCHEM
Bombay Burmah Trading Corporation Limited,BBTC
Bombay Dyeing & Mfg Company Limited,BOMDYEING
BOROSIL RENEWABLES LIMITED,BORORENEW
Bosch Limited,BOSCHLTD
Brigade Enterprises Limited,BRIGADE
Brightcom Group Limited,BCG
Britannia Industries Limited,BRITANNIA
BSE Limited,BSE
Butterfly Gandhimathi Appliances Limited,BUTTERFLY
Cadila Healthcare Limited,CADILAHC
Camlin Fine Sciences Limited,CAMLINFINE
Can Fin Homes Limited,CANFINHOME
Canara Bank,CANBK
Cantabil Retail India Limited,CANTABIL
Capacit'e Infraprojects Limited,CAPACITE
Caplin Point Laboratories Limited,CAPLIPOINT
Capri Global Capital Limited,CGCL
Carborundum Universal Limited,CARBORUNIV
CARE Ratings Limited,CARERATING
Career Point Limited,CAREERP
Castrol India Limited,CASTROLIND
CCL Products (India) Limited,CCL
CEAT Limited,CEATLTD
Central Bank of India,CENTRALBK
Central Depository Services (India) Limited,CDSL
Centrum Capital Limited,CENTRUM
Centum Electronics Limited,CENTUM
Century Enka Limited,CENTENKA
Century Plyboards (India) Limited,CENTURYPLY
Century Textiles & Industries Limited,CENTURYTEX
Cera Sanitaryware Limited,CERA
Cerebra Integrated Technologies Limited,CEREBRAINT
CESC Limited,CESC
CESC Ventures Limited,CESCVENT
CG Power and Industrial Solutions Limited,CGPOWER
Chalet Hotels Limited,CHALET
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Chembond Chemicals Ltd,CHEMBOND
Chemfab Alkalis Limited,CHEMFAB
Chennai Petroleum Corporation Limited,CHENNPETRO
Cholamandalam Financial Holdings Limited,CHOLAHLDNG
Cholamandalam Investment and Finance Company Limited,CHOLAFIN
Cigniti Technologies Limited,CIGNITITEC
Cipla Limited,CIPLA
City Union Bank Limited,CUB
Clariant Chemicals (India) Limited,CLNINDIA
Coal India Limited,COALINDIA
Cochin Shipyard Limited,COCHINSHIP
Colgate Palmolive (India) Limited,COLPAL
Confidence Petroleum India Limited,CONFIPET
Container Corporation of India Limited,CONCOR
Control Print Limited,CONTROLPR
Coromandel International Limited,COROMANDEL
Cosmo Films Limited,COSMOFILMS
CREDITACCESS GRAMEEN LIMITED,CREDITACC
Crest Ventures Limited,CREST
CRISIL Limited,CRISIL
Crompton Greaves Consumer Electricals Limited,CROMPTON
CSB Bank Limited,CSBBANK
Cummins India Limited,CUMMINSIND
Cupid Limited,CUPID
Cyient Limited,CYIENT
D-Link (India) Limited,DLINKINDIA
D.B.Corp Limited,DBCORP
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Dalmia Bharat Sugar and Industries Limited,DALMIASUG
Datamatics Global Services Limited,DATAMATICS
DCB Bank Limited,DCBBANK
DCM Shriram Limited,DCMSHRIRAM
DCW Limited,DCW
Deccan Cements Limited,DECCANCE
Deep Industries Limited,DEEPIND
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT
Deepak Nitrite Limited,DEEPAKNTR
Delta Corp Limited,DELTACORP
Den Networks Limited,DEN
Dewan Housing Finance Corporation Limited,DHFL
DFM Foods Limited,DFMFOODS
Dhampur Sugar Mills Limited,DHAMPURSUG
Dhanlaxmi Bank Limited,DHANBANK
Dhanuka Agritech Limited,DHANUKA
Dhunseri Ventures Limited,DVL
DIC India Limited,DICIND
Dilip Buildcon Limited,DBL
Dish TV India Limited,DISHTV
Dishman Carbogen Amcis Limited,DCAL
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies (India) Limited,DIXON
DLF Limited,DLF
Dollar Industries Limited,DOLLAR
DPSC Limited,DPSCLTD
Dr. Lal Path Labs Ltd.,LALPATHLAB
Dr. Reddy's Laboratories Limited,DRREDDY
Dredging Corporation of India Limited,DREDGECORP
Dwarikesh Sugar Industries Limited,DWARKESH
Dynamatic Technologies Limited,DYNAMATECH
EBIXCASH WORLD MONEY INDIA LIMITED,EBIXFOREX
eClerx Services Limited,ECLERX
Edelweiss Financial Services Limited,EDELWEISS
Eicher Motors Limited,EICHERMOT
EID Parry India Limited,EIDPARRY
EIH Associated Hotels Limited,EIHAHOTELS
EIH Limited,EIHOTEL
Elecon Engineering Company Limited,ELECON
Electrosteel Castings Limited,ELECTCAST
Elgi Equipments Limited,ELGIEQUIP
Emami Limited,EMAMILTD
Emami Paper Mills Limited,EMAMIPAP
Endurance Technologies Limited,ENDURANCE
Engineers India Limited,ENGINERSIN
Entertainment Network (India) Limited,ENIL
Equitas Holdings Limited,EQUITAS
Eris Lifesciences Limited,ERIS
Esab India Limited,ESABINDIA
Escorts Limited,ESCORTS
Essel Propack Limited,ESSELPACK
Ester Industries Limited,ESTER
Euro India Fresh Foods Limited,EIFFL
Eveready Industries India Limited,EVEREADY
Everest Industries Limited,EVERESTIND
Excel Industries Limited,EXCELINDUS
Exide Industries Limited,EXIDEIND
Expleo Solutions Limited,EXPLEOSOL
Fairchem Speciality Limited,FAIRCHEM
FDC Limited,FDC
Federal-Mogul Goetze (India) Limited.,FMGOETZE
Fertilizers and Chemicals Travancore Limited,FACT
Fiem Industries Limited,FIEMIND
Filatex India Limited,FILATEX
Fine Organic Industries Limited,FINEORG
Fineotex Chemical Limited,FCL
Finolex Cables Limited,FINCABLES
Finolex Industries Limited,FINPIPE
Firstsource Solutions Limited,FSL
Fortis Healthcare Limited,FORTIS
Foseco India Limited,FOSECOIND
Future Consumer Limited,FCONSUMER
Future Enterprises Limited,FEL
Future Lifestyle Fashions Limited,FLFL
Future Retail Limited,FRETAIL
Future Supply Chain Solutions Limited,FSC
Gabriel India Limited,GABRIEL
GAIL (India) Limited,GAIL
Galaxy Surfactants Limited,GALAXYSURF
Gallantt Ispat Limited,GALLISPAT
Gallantt Metal Limited,GALLANTT
Gandhi Special Tubes Limited,GANDHITUBE
Ganesha Ecosphere Limited,GANECOS
Garden Reach Shipbuilders & Engineers Limited,GRSE
Garware Technical Fibres Limited,GARFIBRES
Gateway Distriparks Limited,GDL
GATI Limited,GATI
Gayatri Projects Limited,GAYAPROJ
GE Power India Limited,GEPIL
GE T&D India Limited,GET&D
General Insurance Corporation of India,GICRE
Genus Power Infrastructures Limited,GENUSPOWER
Geojit Financial Services Limited,GEOJITFSL
GFL Limited,GFLLIMITED
GHCL Limited,GHCL
GIC Housing Finance Limited,GICHSGFIN
Gillette India Limited,GILLETTE
GIR Natureview Resorts Limited,GIRRESORTS
GKW Limited,GKWLIMITED
GlaxoSmithKline Consumer Healthcare Limited,GSKCONS
GlaxoSmithKline Pharmaceuticals Limited,GLAXO
Glenmark Pharmaceuticals Limited,GLENMARK
Globus Spirits Limited,GLOBUSSPR
GM Breweries Limited,GMBREW
GMM Pfaudler Limited,GMMPFAUDLR
GMR Infrastructure Limited,GMRINFRA
GNA Axles Limited,GNA
GOCL Corporation Limited,GOCLCORP
Godawari Power And Ispat limited,GPIL
Godfrey Phillips India Limited,GODFRYPHLP
Godrej Agrovet Limited,GODREJAGRO
Godrej Consumer Products Limited,GODREJCP
Godrej Industries Limited,GODREJIND
Godrej Properties Limited,GODREJPROP
Gokaldas Exports Limited,GOKEX
Goldiam International Limited,GOLDIAM
GP Petroleums Limited,GULFPETRO
Granules India Limited,GRANULES
Graphite India Limited,GRAPHITE
Grasim Industries Limited,GRASIM
Gravita India Limited,GRAVITA
Greaves Cotton Limited,GREAVESCOT
Greenlam Industries Limited,GREENLAM
Greenpanel Industries Limited,GREENPANEL
Greenply Industries Limited,GREENPLY
Grindwell Norton Limited,GRINDWELL
GTL Infrastructure Limited,GTLINFRA
GTPL Hathway Limited,GTPL
Gufic Biosciences Limited,GUFICBIO
Gujarat Alkalies and Chemicals Limited,GUJALKALI
Gujarat Ambuja Exports Limited,GAEL
Gujarat Apollo Industries Limited,GUJAPOLLO
Gujarat Fluorochemicals Limited,FLUOROCHEM
Gujarat Gas Limited,GUJGASLTD
Gujarat Industries Power Company Limited,GIPCL
Gujarat Mineral Development Corporation Limited,GMDCLTD
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
Gujarat Pipavav Port Limited,GPPL
Gujarat State Fertilizers & Chemicals Limited,GSFC
Gujarat State Petronet Limited,GSPL
Gulf Oil Lubricants India Limited,GULFOILLUB
GVK Power & Infrastructure Limited,GVKPIL
H.G. Infra Engineering Limited,HGINFRA
Harita Seating Systems Limited,HARITASEAT
Hathway Cable & Datacom Limited,HATHWAY
Hatsun Agro Product Limited,HATSUN
Havells India Limited,HAVELLS
HBL Power Systems Limited,HBLPOWER
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Healthcare Global Enterprises Limited,HCG
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Hexaware Technologies Limited,HEXAWARE
HFCL Limited,HFCL
Hikal Limited,HIKAL
HIL Limited,HIL
Himadri Speciality Chemical Limited,HSCL
Himatsingka Seide Limited,HIMATSEIDE
Hind Rectifiers Limited,HIRECT
Hindalco Industries Limited,HINDALCO
Hinduja Global Solutions Limited,HGS
Hindustan Aeronautics Limited,HAL
Hindustan Composites Limited,HINDCOMPOS
Hindustan Construction Company Limited,HCC
Hindustan Copper Limited,HINDCOPPER
Hindustan Media Ventures Limited,HMVL
Hindustan Oil Exploration Company Limited,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Hindusthan National Glass & Industries Limited,HINDNATGLS
HLV LIMITED,HLVLTD
HMT Limited,HMT
Honda Siel Power Products Limited,HONDAPOWER
Honeywell Automation India Limited,HONAUT
Housing & Urban Development Corporation Limited,HUDCO
Housing Development Finance Corporation Limited,HDFC
HSIL Limited,HSIL
HT Media Limited,HTMEDIA
Huhtamaki PPL Limited,PAPERPROD
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
ICICI Securities Limited,ISEC
ICRA Limited,ICRA
IDBI Bank Limited,IDBI
IDFC First Bank Limited,IDFCFIRSTB
IDFC Limited,IDFC
IFB Agro Industries Limited,IFBAGRO
IFB Industries Limited,IFBIND
IFCI Limited,IFCI
IFGL Refractories Limited,IFGLEXPOR
IG Petrochemicals Limited,IGPL
Igarashi Motors India Limited,IGARASHI
IIFL Finance Limited,IIFL
IIFL Securities Limited,IIFLSEC
Iifl Wealth Management Limited,IIFLWAM
India Glycols Limited,INDIAGLYCO
India Motor Parts and Accessories Limited,IMPAL
India Nippon Electricals Limited,INDNIPPON
India Tourism Development Corporation Limited,ITDC
Indiabulls Housing Finance Limited,IBULHSGFIN
Indiabulls Integrated Services Limited,IBULISL
Indiabulls Real Estate Limited,IBREALEST
Indiabulls Ventures Limited,IBVENTURES
Indiamart Intermesh Limited,INDIAMART
Indian Bank,INDIANB
Indian Energy Exchange Limited,IEX
Indian Hume Pipe Company Limited,INDIANHUME
Indian Metals & Ferro Alloys Limited,IMFA
Indian Oil Corporation Limited,IOC
Indian Overseas Bank,IOB
Indian Railway Catering And Tourism Corporation Limited,IRCTC
Indo Count Industries Limited,ICIL
Indo Rama Synthetics (India) Limited,INDORAMA
Indo-National Limited,NIPPOBATRY
Indoco Remedies Limited,INDOCO
IndoStar Capital Finance Limited,INDOSTAR
Indraprastha Gas Limited,IGL
Indraprastha Medical Corporation Limited,INDRAMEDCO
IndusInd Bank Limited,INDUSINDBK
INEOS Styrolution India Limited,INEOSSTYRO
Infibeam Avenues Limited,INFIBEAM
Info Edge (India) Limited,NAUKRI
InfoBeans Technologies Limited,INFOBEAN
Infosys Limited,INFY
Ingersoll Rand (India) Limited,INGERRAND
INOX Leisure Limited,INOXLEISUR
Inox Wind Limited,INOXWIND
Insecticides (India) Limited,INSECTICID
Intellect Design Arena Limited,INTELLECT
InterGlobe Aviation Limited,INDIGO
IOL Chemicals and Pharmaceuticals Limited,IOLCP
IPCA Laboratories Limited,IPCALAB
IRB Infrastructure Developers Limited,IRB
Ircon International Limited,IRCON
ITC Limited,ITC
ITD Cementation India Limited,ITDCEM
ITI Limited,ITI
J.Kumar Infraprojects Limited,JKIL
Jagran Prakashan Limited,JAGRAN
Jai Balaji Industries Limited,JAIBALAJI
Jai Corp Limited,JAICORPLTD
Jain Irrigation Systems Limited,JISLJALEQS
Jaiprakash Associates Limited,JPASSOCIAT
Jaiprakash Power Ventures Limited,JPPOWER
Jamna Auto Industries Limited,JAMNAAUTO
Jay Bharat Maruti Limited,JAYBARMARU
Jayant Agro Organics Limited,JAYAGROGN
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
JBM Auto Limited,JBMA
Jet Airways (India) Limited,JETAIRWAYS
Jindal Poly Films Limited,JINDALPOLY
Jindal Saw Limited,JINDALSAW
Jindal Stainless (Hisar) Limited,JSLHISAR
Jindal Stainless Limited,JSL
Jindal Steel & Power Limited,JINDALSTEL
Jindal Worldwide Limited,JINDWORLD
JK Cement Limited,JKCEMENT
JK Lakshmi Cement Limited,JKLAKSHMI
JK Paper Limited,JKPAPER
JK Tyre & Industries Limited,JKTYRE
JM Financial Limited,JMFINANCIL
JMC Projects (India)  Limited,JMCPROJECT
Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC
JSW Energy Limited,JSWENERGY
JSW Holdings Limited,JSWHL
JSW Steel Limited,JSWSTEEL
Jtekt India Limited,JTEKTINDIA
Jubilant Foodworks Limited,JUBLFOOD
Jubilant Life Sciences Limited,JUBILANT
Just Dial Limited,JUSTDIAL
Jyothy Labs Limited,JYOTHYLAB
K.P.R. Mill Limited,KPRMILL
Kajaria Ceramics Limited,KAJARIACER
Kalpataru Power Transmission Limited,KALPATPOWR
Kalyani Investment Company Limited,KICL
Kalyani Steels Limited,KSL
Kansai Nerolac Paints Limited,KANSAINER
Karda Constructions Limited,KARDA
Karur Vysya Bank Limited,KARURVYSYA
Kaveri Seed Company Limited,KSCL
Kaya Limited,KAYA
KCP Limited,KCP
KCP Sugar and Industries Corporation Limited,KCPSUGIND
KEC International Limited,KEC
KEI Industries Limited,KEI
Kesoram Industries Limited,KESORAMIND
Kewal Kiran Clothing Limited,KKCL
Kingfa Science & Technology (India) Limited,KINGFA
KIOCL Limited,KIOCL
Kiri Industries Limited,KIRIINDUS
Kirloskar Brothers Limited,KIRLOSBROS
Kirloskar Industries Limited,KIRLOSIND
Kirloskar Oil Engines Limited,KIRLOSENG
Kitex Garments Limited,KITEX
KNR Constructions Limited,KNRCON
Kokuyo Camlin Limited,KOKUYOCMLN
Kolte - Patil Developers Limited,KOLTEPATIL
Kotak Mahindra Bank Limited,KOTAKBANK
KPIT Technologies Limited,KPITTECH
KRBL Limited,KRBL
Ksb Limited,KSB
Kuantum Papers Limited,KUANTUM
L&T Finance Holdings Limited,L&TFH
L&T Technology Services Limited,LTTS
La Opala RG Limited,LAOPALA
Lakshmi Machine Works Limited,LAXMIMACH
Lakshmi Vilas Bank Limited,LAKSHVILAS
Larsen & Toubro Infotech Limited,LTI
Larsen & Toubro Limited,LT
Laurus Labs Limited,LAURUSLABS
Lemon Tree Hotels Limited,LEMONTREE
LG Balakrishnan & Bros Limited,LGBBROSLTD
Liberty Shoes Limited,LIBERTSHOE
LIC Housing Finance Limited,LICHSGFIN
Linc Pen & Plastics Limited,LINCPEN
Lincoln Pharmaceuticals Limited,LINCOLN
Linde India Limited,LINDEINDIA
LT Foods Limited,DAAWAT
Lumax Auto Technologies Limited,LUMAXTECH
Lumax Industries Limited,LUMAXIND
Lupin Limited,LUPIN
Lux Industries Limited,LUXIND
Madhav Copper Limited,MCL
Madhya Bharat Agro Products Limited,MBAPL
Madras Fertilizers Limited,MADRASFERT
Magma Fincorp Limited,MAGMA
Mahanagar Gas Limited,MGL
Mahanagar Telephone Nigam Limited,MTNL
Maharashtra Scooters Limited,MAHSCOOTER
Maharashtra Seamless Limited,MAHSEAMLES
Maheshwari Logistics Limited,MAHESHWARI
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mahindra & Mahindra Limited,M&M
Mahindra CIE Automotive Limited,MAHINDCIE
Mahindra EPC Irrigation Limited,MAHEPC
Mahindra Holidays & Resorts India Limited,MHRIL
Mahindra Lifespace Developers Limited,MAHLIFE
Mahindra Logistics Limited,MAHLOG
Maithan Alloys Limited,MAITHANALL
Majesco Limited,MAJESCO
Man Industries (India) Limited,MANINDS
Man Infraconstruction Limited,MANINFRA
Manaksia Limited,MANAKSIA
Manali Petrochemicals Limited,MANALIPETC
Manappuram Finance Limited,MANAPPURAM
Mangalam Cement Limited,MANGLMCEM
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
Mangalore Refinery and Petrochemicals Limited,MRPL
Marathon Nextgen Realty Limited,MARATHON
Marico Limited,MARICO
Marine Electricals (India) Limited,MARINE
Marksans Pharma Limited,MARKSANS
Maruti Suzuki India Limited,MARUTI
MAS Financial Services Limited,MASFIN
Mastek Limited,MASTEK
Matrimony.Com Limited,MATRIMONY
Max Financial Services Limited,MFSL
Max India Limited,MAXINDIA
Max Ventures and Industries Limited,MAXVIL
Mayur Uniquoters Ltd,MAYURUNIQ
Meghmani Organics Limited,MEGH
Menon Bearings Limited,MENONBE
MEP Infrastructure Developers Limited,MEP
Metropolis Healthcare Limited,METROPOLIS
Minda Corporation Limited,MINDACORP
Minda Industries Limited,MINDAIND
MindTree Limited,MINDTREE
Mirza International Limited,MIRZAINT
Mishra Dhatu Nigam Limited,MIDHANI
MM Forgings Limited,MMFL
MMP Industries Limited,MMP
MMTC Limited,MMTC
MOIL Limited,MOIL
Mold-Tek Packaging Limited,MOLDTKPAC
Monnet Ispat & Energy Limited,AIONJSW
Monte Carlo Fashions Limited,MONTECARLO
Morepen Laboratories Limited,MOREPENLAB
Motherson Sumi Systems Limited,MOTHERSUMI
Motilal Oswal Financial Services Limited,MOTILALOFS
MphasiS Limited,MPHASIS
MPS Limited,MPSLTD
MRF Limited,MRF
MSP Steel & Power Limited,MSPL
Mstc Limited,MSTCLTD
Mukand Limited,MUKANDLTD
Munjal Auto Industries Limited,MUNJALAU
Munjal Showa Limited,MUNJALSHOW
Music Broadcast Limited,RADIOCITY
Muthoot Capital Services Limited,MUTHOOTCAP
Muthoot Finance Limited,MUTHOOTFIN
N R Agarwal Industries Limited,NRAIL
N. B. I. Industrial Finance Company Limited,NBIFIN
NACL Industries Limited,NACLIND
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
Nalwa Sons Investments Limited,NSIL
Narayana Hrudayalaya Ltd.,NH
Natco Pharma Limited,NATCOPHARM
Nath Bio-Genes (India) Limited,NATHBIOGEN
National Aluminium Company Limited,NATIONALUM
National Fertilizers Limited,NFL
Nava Bharat Ventures Limited,NBVENTURES
Navin Fluorine International Limited,NAVINFLUOR
Navkar Corporation Limited,NAVKARCORP
Navneet Education Limited,NAVNETEDUL
NBCC (India) Limited,NBCC
NCC Limited,NCC
NCL Industries Limited,NCLIND
Nectar Lifesciences Limited,NECLIFE
Nelcast Limited,NELCAST
NELCO Limited,NELCO
Neogen Chemicals Limited,NEOGEN
Nesco Limited,NESCO
Network18 Media & Investments Limited,NETWORK18
Neuland Laboratories Limited,NEULANDLAB
New Delhi Television Limited,NDTV
Newgen Software Technologies Limited,NEWGEN
NHPC Limited,NHPC
NIIT Limited,NIITLTD
NIIT Technologies Limited,NIITTECH
Nilkamal Limited,NILKAMAL
Nippon Life India Asset Management Limited,NAM-INDIA
Nitin Spinners Limited,NITINSPIN
NLC India Limited,NLCINDIA
NMDC Limited,NMDC
NOCIL Limited,NOCIL
NRB Bearing Limited,NRBBEARING
NTPC Limited,NTPC
Nucleus Software Exports Limited,NUCLEUS
NXTDIGITAL LIMITED,NXTDIGITAL
Oberoi Realty Limited,OBEROIRLTY
Oil & Natural Gas Corporation Limited,ONGC
Oil India Limited,OIL
Olectra Greentech Limited,OLECTRA
Omaxe Limited,OMAXE
OnMobile Global Limited,ONMOBILE
Oracle Financial Services Software Limited,OFSS
Orbit Exports Limited,ORBTEXP
Oricon Enterprises Limited,ORICONENT
Orient Cement Limited,ORIENTCEM
Orient Electric Limited,ORIENTELEC
Orient Paper & Industries Limited,ORIENTPPR
Orient Refractories Limited,ORIENTREF
Oriental Aromatics Limited,OAL
Oriental Carbon & Chemicals Limited,OCCL
Oriental Hotels Limited,ORIENTHOT
Osia Hyper Retail Limited,OSIAHYPER
Oswal Chemicals & Fertilizers Limited,BINDALAGRO
Page Industries Limited,PAGEIND
Paisalo Digital Limited,PAISALO
Panacea Biotec Limited,PANACEABIO
Panama Petrochem Limited,PANAMAPET
Parag Milk Foods Limited,PARAGMILK
Patel Engineering Limited,PATELENG
PC Jeweller Limited,PCJEWELLER
PDS Multinational Fashions Limited,PDSMFL
Pearl Global Industries Limited,PGIL
Pennar Industries Limited,PENIND
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Pfizer Limited,PFIZER
Phillips Carbon Black Limited,PHILIPCARB
PI Industries Limited,PIIND
Pidilite Industries Limited,PIDILITIND
Pilani Investment and Industries Corporation Limited,PILANIINVS
Piramal Enterprises Limited,PEL
Plastiblends India Limited,PLASTIBLEN
PNB Gilts Limited,PNBGILTS
PNB Housing Finance Limited,PNBHOUSING
PNC Infratech Limited,PNCINFRA
Pokarna Limited,POKARNA
Poly Medicure Limited,POLYMED
Polycab India Limited,POLYCAB
Polyplex Corporation Limited,POLYPLEX
Power Finance Corporation Limited,PFC
Power Grid Corporation of India Limited,POWERGRID
Power Mech Projects Limited,POWERMECH
PPAP Automotive Limited,PPAP
Prabhat Dairy Limited,PRABHAT
Praj Industries Limited,PRAJIND
Prakash Industries Limited,PRAKASH
Prataap Snacks Limited,DIAMONDYD
Precision Camshafts Limited,PRECAM
Precision Wires India Limited,PRECWIRE
Prestige Estates Projects Limited,PRESTIGE
Pricol Limited,PRICOLLTD
Prime Focus Limited,PFOCUS
Prince Pipes And Fittings Limited,PRINCEPIPE
Prism Johnson Limited,PRSMJOHNSN
Procter & Gamble Health Limited,PGHL
Procter & Gamble Hygiene and Health Care Limited,PGHH
